task,BatchNormalizationNS32,BatchNormalizationNS64,BatchNormalizationNS256,BatchNormalizationNS8,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS512,BatchNormalizationNS128,Conv2DNS512,Conv2DNS1024,Conv2DNS256,Conv2DNS64,Conv2DNS128
conv2d_1,inf,inf,inf,inf,inf,inf,inf,inf,691200,345600,1382400,5529600,2764800
batch_normalization_1,409600,204800,51200,1638400,12800,819200,25600,102400,inf,inf,inf,inf,inf
conv2d_2,inf,inf,inf,inf,inf,inf,inf,inf,7372800,3686400,14745600,58982400,29491200
batch_normalization_2,204800,102400,25600,819200,6400,409600,12800,51200,inf,inf,inf,inf,inf
conv2d_3,inf,inf,inf,inf,inf,inf,inf,inf,7372800,3686400,14745600,58982400,29491200
batch_normalization_3,102400,51200,12800,409600,3200,204800,6400,25600,inf,inf,inf,inf,inf
conv2d_4,inf,inf,inf,inf,inf,inf,inf,inf,3686400,1843200,7372800,29491200,14745600
batch_normalization_4,25600,12800,3200,102400,800,51200,1600,6400,inf,inf,inf,inf,inf
conv2d_6,inf,inf,inf,inf,inf,inf,inf,inf,1843200,921600,3686400,14745600,7372800
batch_normalization_6,12800,6400,1600,51200,400,25600,800,3200,inf,inf,inf,inf,inf
conv2d_7,inf,inf,inf,inf,inf,inf,inf,inf,11059200,5529600,22118400,88473600,44236800
batch_normalization_7,25600,12800,3200,102400,800,51200,1600,6400,inf,inf,inf,inf,inf
conv2d_8,inf,inf,inf,inf,inf,inf,inf,inf,11059200,5529600,22118400,88473600,44236800
batch_normalization_8,51200,25600,6400,204800,1600,102400,3200,12800,inf,inf,inf,inf,inf
conv2d_9,inf,inf,inf,inf,inf,inf,inf,inf,11059200,5529600,22118400,88473600,44236800
batch_normalization_9,102400,51200,12800,409600,3200,204800,6400,25600,inf,inf,inf,inf,inf
conv2d_10,inf,inf,inf,inf,inf,inf,inf,inf,2880000,1440000,5760000,23040000,11520000
