Task,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions
block1_conv1,0,4906566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,3046740,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,2463229,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,1535504,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,1254320,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,1255294,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,778968,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,649527,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,650268,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,401050,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,175457,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,174600,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,74486270,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12151923,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969171
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
