Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,29072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,23189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,19608,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19326,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37558,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38166,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,23784,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,24526,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,24508,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,39169,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,39355,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,36932,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70194,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48834,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48811,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
