task,Conv2DNS1024,Conv2DNS128,Conv2DNS64,Conv2DNS512,Conv2DNS256,DenseNS512,DenseNS128,DenseNS1024,DenseNS256,DenseNS64,DenseNS16,DenseNS8,DenseNS32
block1_conv1,84672,677376,1354752,169344,338688,-1,-1,-1,-1,-1,-1,-1,-1
block1_conv2,1806336,14450688,28901376,3612672,7225344,-1,-1,-1,-1,-1,-1,-1,-1
block2_conv1,903168,7225344,14450688,1806336,3612672,-1,-1,-1,-1,-1,-1,-1,-1
block2_conv2,1806336,14450688,28901376,3612672,7225344,-1,-1,-1,-1,-1,-1,-1,-1
block3_conv1,903168,7225344,14450688,1806336,3612672,-1,-1,-1,-1,-1,-1,-1,-1
block3_conv2,1806336,14450688,28901376,3612672,7225344,-1,-1,-1,-1,-1,-1,-1,-1
block3_conv3,1806336,14450688,28901376,3612672,7225344,-1,-1,-1,-1,-1,-1,-1,-1
block4_conv1,903168,7225344,14450688,1806336,3612672,-1,-1,-1,-1,-1,-1,-1,-1
block4_conv2,1806336,14450688,28901376,3612672,7225344,-1,-1,-1,-1,-1,-1,-1,-1
block4_conv3,1806336,14450688,28901376,3612672,7225344,-1,-1,-1,-1,-1,-1,-1,-1
block5_conv1,451584,3612672,7225344,903168,1806336,-1,-1,-1,-1,-1,-1,-1,-1
block5_conv2,451584,3612672,7225344,903168,1806336,-1,-1,-1,-1,-1,-1,-1,-1
block5_conv3,451584,3612672,7225344,903168,1806336,-1,-1,-1,-1,-1,-1,-1,-1
fc1,-1,-1,-1,-1,-1,200704,802816,100352,401408,1605632,6422528,12845056,3211264
fc2,-1,-1,-1,-1,-1,32768,131072,16384,65536,262144,1048576,2097152,524288
predictions,-1,-1,-1,-1,-1,8000,32000,4000,16000,64000,256000,512000,128000
